,logFC,logCPM,PValue,FDR
YER081W,3.43546734,9.209119683,1.63E-259,9.63E-256
YGR234W,-3.995366577,8.257319215,3.18E-257,9.41E-254
YHR215W,-4.738240985,7.700539726,4.48E-211,8.83E-208
YER011W,-3.82799568,7.293263575,7.34E-193,1.09E-189
YOR290C,-7.718606161,6.291974339,1.33E-184,1.58E-181
YML123C,-4.278879077,9.017074772,2.14E-180,2.11E-177
YAR009C,-2.794054933,9.119124227,6.95E-152,5.87E-149
YDR033W,-3.364673792,8.748813351,1.21E-138,8.95E-136
YDR365W-B,-1.959613808,10.1557591,2.11E-125,1.39E-122
YDR077W,-2.991938106,11.34161553,1.13E-111,6.66E-109
YFR015C,-2.599010791,9.204265487,5.69E-102,3.06E-99
YHR136C,-4.116375164,5.399220834,1.38E-98,6.79E-96
YER067W,-2.015708358,8.795735292,1.69E-95,7.70E-93
YPR149W,-1.811591759,8.228910714,4.22E-92,1.78E-89
YBR067C,-2.582834658,8.697563599,2.56E-91,1.01E-88
YIL121W,-2.535108296,6.483506123,6.79E-88,2.51E-85
YBR092C,-2.599243936,7.018609493,3.96E-78,1.38E-75
YIL169C,-2.625448625,7.528809605,4.00E-77,1.31E-74
YER138C,-2.225265603,9.825769292,4.10E-73,1.28E-70
YOR153W,-2.519474159,9.688769025,1.10E-72,3.25E-70
YOL109W,-2.429078322,8.305344459,3.99E-70,1.12E-67
YHR092C,-1.938161732,9.762935386,3.51E-64,9.44E-62
YKL062W,-1.738361936,7.027491526,4.46E-63,1.15E-60
YBR093C,-1.632757959,7.010201566,8.07E-63,1.99E-60
YPL019C,-2.137514501,7.812595519,1.77E-56,4.19E-54
YDR406W,-1.508084715,7.345499403,9.72E-55,2.21E-52
YHL047C,-1.579970745,7.578650886,6.65E-54,1.46E-51
YJL077C,2.3004337,5.65713526,6.44E-51,1.36E-48
YJR029W,-2.733255024,9.145114941,1.78E-50,3.63E-48
YDR342C,-2.745111485,10.80207712,5.71E-50,1.13E-47
YLR413W,-2.288212425,8.178370228,4.77E-48,9.11E-46
YOR348C,2.531428783,5.243764645,1.96E-47,3.63E-45
YEL040W,-1.232071279,8.838719565,7.33E-47,1.31E-44
YJL012C,-1.244668488,8.113419986,2.56E-45,4.45E-43
YMR056C,1.986322394,6.044507676,5.48E-45,9.27E-43
YKR039W,2.0715718,7.052861597,1.16E-44,1.91E-42
YFR055W,-1.640743942,6.868230653,2.82E-44,4.47E-42
YBL005W-A,8.316371905,4.196469988,2.87E-44,4.47E-42
YLR350W,1.054722808,8.90235249,2.29E-41,3.48E-39
YER001W,-1.97704049,6.089650547,1.56E-40,2.30E-38
YDR055W,-1.540669378,7.368853718,5.24E-40,7.56E-38
R0030W,1.106495321,9.129350464,1.42E-39,2.00E-37
YJR010W,1.620399026,6.574260455,1.47E-39,2.03E-37
YDR399W,-1.717109345,7.355561496,6.33E-39,8.51E-37
YOR273C,-1.730646332,7.796339597,2.68E-38,3.52E-36
YPR124W,-1.095105708,8.402744371,2.94E-38,3.78E-36
YDL039C,-2.801226101,7.258874001,9.73E-38,1.23E-35
YDL182W,-1.174369064,8.225108951,2.72E-37,3.35E-35
YNL284C-A,5.120932047,4.75129135,5.37E-37,6.49E-35
YNL160W,-2.042801283,6.891450189,3.31E-36,3.92E-34
YIL117C,1.256487516,7.430711593,3.67E-36,4.26E-34
YLR155C,1.093177173,7.937767771,1.06E-35,1.21E-33
YLR157C,1.093175886,7.937767771,1.08E-35,1.21E-33
YLR158C,1.093173985,7.937767771,1.12E-35,1.22E-33
YLR160C,1.093173262,7.937767771,1.13E-35,1.22E-33
YHR219W,1.220044836,9.603661906,3.54E-35,3.74E-33
YLR227W-B,-2.328343256,8.20610404,7.54E-35,7.83E-33
YBR230W-A,1.947978984,6.064282122,1.72E-34,1.76E-32
YOR227W,1.203071538,7.540315124,8.89E-34,8.91E-32
YLR348C,1.184899578,8.08978248,4.31E-33,4.25E-31
YEL044W,1.264184504,7.271591726,9.84E-33,9.55E-31
YDR044W,-1.430917746,7.769796717,4.03E-32,3.85E-30
YOL155C,-1.74164704,7.975446684,4.29E-32,4.03E-30
YER056C,-1.166347391,8.101161943,4.39E-32,4.06E-30
YCR021C,-1.982508524,6.022135773,1.16E-31,1.06E-29
YMR006C,-1.394403317,7.093534475,3.36E-31,3.01E-29
YER042W,1.50100596,6.023656109,3.93E-31,3.47E-29
YDR277C,-1.356314481,7.036056587,1.33E-30,1.16E-28
YER072W,-1.049046459,8.153190208,2.11E-30,1.81E-28
YLR300W,-1.098332291,9.030404868,3.19E-30,2.69E-28
YER053C,-1.11222559,7.337140687,4.67E-30,3.89E-28
YBR070C,1.728451178,5.658051775,8.13E-30,6.68E-28
YGL028C,-1.344437484,6.510058116,1.07E-29,8.69E-28
YOL158C,-1.445857414,7.69388255,1.76E-29,1.40E-27
YMR244C-A,1.541830291,5.768844682,2.55E-29,2.01E-27
YAL061W,-1.821685219,7.384178737,3.01E-29,2.34E-27
YDR011W,-1.027409036,7.734006572,3.86E-29,2.97E-27
YIR039C,1.562757274,5.85889995,7.97E-29,6.04E-27
YHL050C,1.780697523,6.98352926,2.67E-28,2.00E-26
YGR027W-B,-2.330858252,8.4299422,3.62E-28,2.68E-26
YFL054C,1.93248555,7.151855626,4.70E-28,3.44E-26
YMR045C,-1.821859772,7.677215501,5.32E-28,3.84E-26
YDR216W,1.466805363,6.660751659,6.69E-28,4.77E-26
YDR452W,0.915479498,8.10816343,7.91E-28,5.57E-26
YMR272C,-1.138802175,7.383103028,9.06E-28,6.31E-26
YAR071W,-2.83264616,6.22725759,1.05E-27,7.25E-26
YHR216W,-0.966462085,8.103456389,3.58E-27,2.43E-25
YKL182W,-0.79950129,9.57952246,6.00E-27,4.03E-25
YLR108C,1.892546817,6.028081338,2.02E-26,1.34E-24
YMR280C,1.495096444,6.234850725,2.05E-26,1.35E-24
YDL022W,-0.993158516,8.785189923,3.29E-26,2.14E-24
YGL255W,-1.218070442,6.67460657,3.98E-26,2.56E-24
YHL020C,1.042705843,7.506085796,1.05E-25,6.65E-24
YIR042C,2.31903248,4.767317886,2.92E-25,1.84E-23
YGR035C,-3.439868993,5.27070843,6.23E-25,3.88E-23
YGR161W-C,1.370507208,5.905053355,6.94E-25,4.26E-23
YNL327W,-0.94978567,8.300718365,6.98E-25,4.26E-23
YBR244W,-2.393235812,4.937391368,1.14E-24,6.88E-23
YDL037C,-3.306689768,4.449032314,1.84E-24,1.10E-22
YER124C,-1.522303022,6.308973393,2.88E-24,1.70E-22
YMR195W,-1.104806484,6.602550024,4.84E-24,2.84E-22
YKL109W,-1.698978764,7.509734203,7.75E-24,4.49E-22
YNL300W,-1.405575177,6.131419985,1.03E-23,5.93E-22
YOL110W,1.708805563,6.601944468,2.14E-23,1.22E-21
YHR143W,-0.901548198,8.75326995,2.23E-23,1.26E-21
YPL134C,1.621779256,6.241649288,2.34E-23,1.31E-21
YDL244W,4.053670375,3.485852935,5.42E-23,3.00E-21
YOR222W,1.091047648,7.530352806,6.04E-23,3.31E-21
YLR264W,-1.161037629,7.066298241,6.31E-23,3.42E-21
YDL229W,-0.659476873,11.3435928,6.64E-23,3.55E-21
YLR258W,-1.59887763,8.619187959,6.66E-23,3.55E-21
YBL005W-B,-2.120201908,7.347850965,1.50E-22,7.91E-21
YIL046W,1.094113271,6.823705403,1.51E-22,7.91E-21
YER004W,0.867193099,7.81375456,1.54E-22,8.01E-21
YPR015C,2.325109925,4.519878488,1.57E-22,8.08E-21
YHL021C,-1.182509936,7.784127325,1.80E-22,9.17E-21
YGR189C,0.924988085,9.640212794,3.79E-22,1.92E-20
YDR111C,1.310131909,6.745731758,4.22E-22,2.12E-20
YGL035C,0.998072073,7.926480593,8.28E-22,4.12E-20
YOR204W,-1.011776308,6.9057981,1.31E-21,6.44E-20
YNL217W,-1.158559348,7.187433136,1.71E-21,8.36E-20
YGR087C,3.057056093,3.971132223,2.33E-21,1.13E-19
YDR059C,1.428803097,5.495834323,2.81E-21,1.35E-19
YLR050C,1.147858846,6.337393671,2.88E-21,1.38E-19
YDL137W,0.761746623,8.616377888,3.87E-21,1.83E-19
YPL163C,-1.084679805,7.139068235,4.27E-21,2.01E-19
YPL095C,-1.641738005,6.138124689,4.43E-21,2.07E-19
YLR356W,1.314043058,6.049924129,4.51E-21,2.09E-19
YFR030W,1.31493586,6.57777505,5.58E-21,2.56E-19
YLL060C,1.486068926,5.876684964,9.93E-21,4.52E-19
YHR214C-B,-2.525633766,7.896727754,1.12E-20,5.05E-19
YLR312C,1.929083079,4.883218618,1.59E-20,7.13E-19
YOR328W,1.255437222,5.889141953,2.20E-20,9.80E-19
YHR174W,-0.849535124,13.90617053,2.29E-20,1.01E-18
YOR306C,-1.057863617,6.642123478,2.31E-20,1.01E-18
YJR078W,2.474622913,4.104158659,2.70E-20,1.18E-18
YDL173W,0.892382584,7.696509996,3.75E-20,1.62E-18
YBL044W,3.266098085,3.541722773,3.97E-20,1.70E-18
YLR332W,0.824703898,8.06643025,4.37E-20,1.86E-18
YLL061W,1.421227942,6.634578987,4.41E-20,1.86E-18
YKL043W,-0.942607539,7.294117957,4.56E-20,1.91E-18
YGL062W,1.001423815,8.040567229,1.20E-19,4.99E-18
YPR075C,0.996770214,7.828069086,1.34E-19,5.54E-18
YER037W,-1.528066939,5.488802832,2.76E-19,1.13E-17
YGR159C,-1.159546336,9.097730632,2.78E-19,1.14E-17
YLR250W,0.870171086,7.267041869,3.33E-19,1.35E-17
YIL094C,-0.79146101,7.793927014,3.63E-19,1.46E-17
YMR173W,-1.00175886,8.807174758,3.90E-19,1.56E-17
YGR008C,-0.911940804,8.050087939,4.31E-19,1.71E-17
YIL053W,0.795772946,11.29274812,4.96E-19,1.96E-17
R0010W,0.864755014,10.13185015,5.41E-19,2.12E-17
YLR151C,1.398560339,5.699634096,5.71E-19,2.22E-17
YBR299W,2.053289464,4.867963744,6.77E-19,2.62E-17
R0020C,0.840560699,10.13801151,8.03E-19,3.09E-17
YER146W,1.038215104,6.709325817,8.18E-19,3.12E-17
YOR178C,-1.294030972,6.238948763,1.09E-18,4.13E-17
YOR383C,1.189960022,11.42977909,1.25E-18,4.71E-17
YHR146W,0.927472647,7.846701954,1.34E-18,5.01E-17
YJR025C,1.163366165,6.471518372,1.55E-18,5.75E-17
YBR011C,0.624034744,10.23452567,1.62E-18,5.98E-17
YEL071W,1.160501322,8.744219412,1.71E-18,6.29E-17
YLR324W,0.889512407,6.926576612,2.02E-18,7.38E-17
YDL048C,-0.904863805,7.217268491,2.06E-18,7.47E-17
YGL008C,-0.630151231,11.36200658,2.08E-18,7.49E-17
YAL003W,-0.756204137,9.808557653,2.39E-18,8.55E-17
YBR241C,1.471807054,6.717942892,2.91E-18,1.04E-16
YLL023C,0.844445932,7.413552457,3.47E-18,1.23E-16
YDR281C,-3.415778173,3.164346373,3.67E-18,1.29E-16
YIL011W,-1.421830076,5.156006005,4.50E-18,1.58E-16
YGR138C,-1.522804143,6.208546323,4.86E-18,1.69E-16
YLL050C,0.782816158,9.020728611,7.20E-18,2.49E-16
YGR096W,1.334107648,5.508545144,7.54E-18,2.59E-16
YNR050C,-0.812950262,7.440306691,8.62E-18,2.95E-16
YGR067C,1.92901605,4.810380025,9.06E-18,3.08E-16
YLR180W,-0.774364159,8.905099137,1.14E-17,3.87E-16
YHR080C,0.949468213,6.722469658,1.24E-17,4.18E-16
YML101C,1.15631356,5.79391481,1.44E-17,4.83E-16
YDR092W,0.959870242,6.836252076,2.45E-17,8.15E-16
YCL064C,-1.063911136,8.401086058,2.62E-17,8.66E-16
YGL162W,-1.324104785,5.768916465,2.79E-17,9.17E-16
YDL241W,-1.529054794,4.590620756,2.94E-17,9.61E-16
YDR343C,-1.35575117,8.786265233,4.26E-17,1.39E-15
YOR375C,0.744329595,9.763287738,5.76E-17,1.86E-15
YGR233C,-1.012865926,6.238624309,7.97E-17,2.56E-15
YPL222W,1.314581553,6.100156369,1.12E-16,3.57E-15
YER190C-B,1.130971375,7.639354629,1.21E-16,3.84E-15
YHR142W,0.854982703,7.061523656,1.24E-16,3.91E-15
YPR160W,-1.849953183,8.017899689,1.29E-16,4.07E-15
